# id	left	top	right	bottom	texture_id
[SPRITES]
#PINK_BLOCK_PLATFORM
241000	919	137	934	152	40
242000	936	137	951	152	40
243000	953	137	968	152	40
244000	919	154	934	169	40
245000	936	154	951	169	40
246000	953	154	968	169	40
247000	919	171	934	186	40
248000	936	171	951	186	40
249000	953	171	968	186	40

#BLUE_BLOCK_PLATFORM
251000	970	137	985	152	40
252000	987	137	1002	152	40
253000	1004	137	1019	152	40
254000	970	154	985	169	40
255000	987	154	1002	169	40
256000	1004	154	1019	169	40
257000	970	171	985	186	40
258000	987	171	1002	186	40
259000	1004	171	1019	186	40

#GREEN_BLOCK_PLATFORM
261000	919	188	934	203	40
262000	936	188	951	203	40
263000	953	188	968	203	40
264000	919	205	934	220	40
265000	936	205	951	220	40
266000	953	205	968	220	40
267000	919	222	934	237	40
268000	936	222	951	237	40
269000	953	222	968	237	40

#WHITE_BLOCK_PLATFORM
271000	970	188	985	203	40
272000	987	188	1002	203	40
273000	1004	188	1019	203	40
274000	970	205	985	220	40
275000	987	205	1002	220	40
276000	1004	205	1019	220	40
277000	970	222	985	237	40
278000	987	222	1002	237	40
279000	1004	222	1019	237	40

#BLOCK_PLATFORM_SHADOW_HEAD
281000	1037	196	1044	196	40
282000	1037	197	1044	197	40


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
